,loc
3812,"48.871668,2.280849"
3813,"48.875332,2.381725"
3814,"48.845022,2.258318"
3815,"48.862468,2.406179"
3816,"48.886720292,2.332910943"
3817,"48.89083,2.363003"
3818,"48.828681,2.369876"
3819,"48.834619,2.386057"
3820,"48.819349,2.373741"
3821,"48.872568,2.364458"
3822,"49.037909,2.498511"
3823,"48.8488669,2.2937002"
3824,"48.877937,2.301753"
3825,"48.840068889,2.390654453"
3826,"48.831658,2.278029"
3827,"48.837822,2.382698"
3828,"48.863847,2.291275"
3829,"48.944249,2.476425"
3830,"48.854688,2.353796"
3831,"48.854971,2.273024"
3832,"48.834389,2.389696"
3833,"48.834405,2.389686"
3834,"48.882043,2.32022"
3835,"48.833424,2.32595"
3836,"48.879656,2.399441"
3837,"48.834354,2.389831"
3838,"48.825113,2.326659"
3839,"48.886705,2.345292"
3840,"48.864527,2.270007"
3841,"48.894544,2.381442"
3842,"48.898301,2.382792"
3843,"48.852873,2.26234"
3844,"48.877292,2.376329"
3845,"48.870429,2.337447"
3846,"48.834578,2.389996"
3847,"48.834563,2.389757"
3848,"48.730983,2.30423"
3849,"48.834441,2.389938"
3850,"48.856025,2.287463"
3851,
3852,"48.886274,2.362694"
3853,"48.834503,2.389691"
3854,"48.855996,2.386068"
3855,"48.839798,2.377996"
3856,"48.865242,2.490261"
3857,"48.84661,2.82895"
3858,"48.884191,2.369254"
3859,"48.898623,2.223876"
3860,"48.834379,2.389799"
3861,"48.956617,2.500158"
3862,"48.835505,2.302233"
3863,"48.884158,2.33051"
3864,"49.19733,2.060602"
3865,"48.905099,2.312883"
3866,"48.82016,2.35421"
3867,"48.834494,2.389718"
3868,"48.942055,2.290521"
3869,"48.8343648,2.3897439"
3870,"48.839131,2.422915"
3871,"48.875781,2.35807"
3872,"48.834481,2.389719"
3873,"48.862460402,2.294248611"
3874,"48.834352,2.389446"
3875,"48.825352,2.367144"
3876,"48.819901,2.402049"
3877,"48.879271,2.362881"
3878,"48.947591,2.358425"
3879,"48.853534,2.40949"
3880,"48.943916,2.289825"
3881,"49.049241,2.411853"
3882,"48.869174,2.494651"
3883,"48.853818,2.328086"
3884,"48.848116,2.360188"
3885,"48.854357,2.396259"
3886,"48.907579,2.364774"
3887,"48.823446,2.306348"
3888,"48.857674,2.418911"
3889,"48.83441,2.389559"
3890,"48.83619,2.353324"
3891,"48.870625,2.358631"
3892,"48.849132,2.338342"
3893,"48.852284,2.37208"
3894,"48.86533,2.299269"
3895,"48.864849,2.293272"
3896,"48.838326759,2.371498176"
3897,"48.869706,2.29213"
3898,"48.843586,2.351426"
3899,"48.869253,2.400668"
3900,"48.893194,2.319871"
3901,"48.881983,2.33384"
3902,"48.851683,2.337165"
3903,"48.839042,2.376208"
3904,"48.846308006,2.341289256"
3905,"48.851021,2.345334"
3906,"48.857945,2.272402"
3907,"48.895114,2.359934"
3908,"48.895487,2.359741"
3909,"48.884864,2.376655"
3910,"48.882302,2.396034"
3911,"48.822886,2.322002"
3912,"48.842848,2.384288"
3913,"48.846309,2.282942"
3914,"48.823093,2.324343"
3915,"48.860434,2.298643"
3916,"48.879491,2.339504"
3917,"48.83437,2.38946"
3918,"48.87292,2.403405"
3919,"48.875343,2.32521"
3920,"48.87043,2.33226"
3921,"48.832708146,2.314358992"
3922,"48.852596,2.379194"
3923,"48.877615,2.348471"
3924,"48.875287,2.381701"
3925,"48.880694,2.360137"
3926,"48.82678,2.300773"
3927,"48.851448,2.378721"
3928,"48.875788143,2.400808348"
3929,"48.84538,2.363647"
3930,"48.836617279,2.304884072"
3931,"48.829305,2.326131"
3932,"48.874857,2.30446"
3933,"48.860404,2.406838"
3934,"48.892515,2.336882"
3935,"48.85166,2.358796"
3936,"48.893351886,2.317275159"
3937,"48.894025,2.331839"
3938,"48.84345,2.306468"
3939,"48.837448,2.382274"
3940,"48.834496,2.389726"
3941,"48.834282,2.389699"
3942,"48.871886,2.468626"
3943,"48.867856,2.359698"
3944,"48.870782,2.370678"
3945,"48.873163,2.346748"
3946,"48.848523765,2.37864876"
3947,"48.835996,2.301224"
3948,"48.888461,2.339742"
3949,"48.834479,2.389703"
3950,"48.872805,2.403953"
3951,"48.830828,2.399191"
3952,"48.847203,2.392016"
3953,"48.822869,2.321963"
3954,"48.840361,2.407615"
3955,"48.897131,2.327665"
3956,"48.827396,2.212605"
3957,"48.8444878,2.4079705"
3958,"48.885388,2.293703"
3959,"48.841496,2.272744"
3960,"48.876365,2.43715"
3961,"48.824077,2.316311"
3962,"48.95529,2.458486"
3963,"48.826551,2.323726"
3964,"48.843639,2.263319"
3965,"48.900455,2.229741"
3966,"48.887713,2.296033"
3967,"48.884941,2.352323"
3968,"48.880081,2.451183"
3969,"48.817912,2.353273"
3970,"48.864797,2.302452"
3971,"48.887238,2.380975"
3972,"48.823642435,2.322396977"
3973,"48.84245,2.289633"
3974,"48.944534,2.476362"
3975,"48.932205,2.324758"
3976,"48.826981,2.370744"
3977,"48.852176,2.28637"
3978,"48.897325,2.342093"
3979,"48.823075,2.305011"
3980,"48.834408,2.389772"
3981,"48.842244,2.327633"
3982,"48.854853,2.352996"
3983,"48.866298,2.297175"
3984,"48.84623,2.332438"
3985,"48.856439,2.286871"
3986,"48.841841,2.337389"
3987,"48.882784,2.336256"
3988,"48.882139,2.334576"
3989,"48.859406,2.357619"
3990,"48.861897,2.35875"
3991,"48.852831,2.335135"
3992,"48.843773,2.259148"
3993,"48.883422,2.325192"
3994,"48.891972,2.347041"
3995,"48.858066,2.331136"
3996,"48.840456,2.368485"
3997,"48.887382,2.336861"
3998,"48.858377,2.347383"
3999,"48.852645,2.265449"
4000,"48.836394191,2.345203002"
4001,"48.862497,2.406247"
4002,"48.879671,2.377522"
4003,"48.852856,2.262312"
4004,"48.890539795,2.33752877"
4005,"48.871396,2.293672"
4006,"48.834696819,2.400930768"
4007,"48.886163,2.336326"
4008,"48.875977,2.38023"
4009,"48.875776,2.400818"
4010,"48.857679,2.295055"
4011,"48.833443,2.356384"
4012,"49.162303,5.365096"
4013,"48.845051,2.258723"
4014,"48.86489,2.288829"
4015,"48.853923,2.37869"
4016,"48.87574,2.289055"
4017,"48.83007,2.317108"
4018,"48.83904,2.322337"
4019,"49.102686,2.190353"
4020,"48.836154,2.327344"
4021,"48.624006,2.594953"
4022,"48.9554084,2.3588312"
4023,"48.914061,2.282197"
4024,"48.834445,2.389723"
4025,"48.88956,2.340835"
4026,"43.368312,5.793248"
4027,"48.907586,2.448693"
4028,"48.901538,2.320875"
4029,"48.861226,2.292783"
4030,"48.933125,2.325255"
4031,"48.836144,2.260853"
4032,"48.858858,2.337831"
4033,"48.834191,2.389432"
4034,"48.830566,2.313839"
4035,"48.894803,2.382377"
4036,"48.875154,2.337853"
4037,"48.834603,2.389747"
4038,"48.8664492,2.328467"
4039,"48.828574,2.38209"
4040,"48.947976,2.353965"
4041,"48.83438,2.389761"
4042,"48.834441,2.389691"
4043,"48.878022,2.411392"
4044,"48.821645,2.321835"
4045,"48.8343734,2.3895519"
4046,"48.834565,2.389793"
4047,"48.851701,2.35085"
4048,"48.834216,2.389799"
4049,"48.851247,2.259561"
4050,"48.891897,2.370655"
4051,"48.843177,2.264707"
4052,"48.834435,2.390494"
4053,"48.847946,2.359684"
4054,"48.867561,2.317097"
4055,"48.899367,2.365844"
4056,"48.868114,2.280782"
4057,"48.885660355,2.309925294"
4058,"48.865152,2.309577"
4059,"48.829393,2.308703"
4060,"48.856261,2.250971"
4061,"48.839285,2.256017"
4062,"48.864155,2.467371"
4063,"48.827825,2.366759"
4064,"48.867977,2.409377"
4065,"48.872598,2.285303"
4066,"48.834545,2.389618"
4067,"48.841150574,2.280801042"
4068,"48.843722,2.263298"
4069,"48.834426,2.389622"
4070,"48.83436,2.389666"
4071,"48.830644066,2.311598702"
4072,"48.948181,2.281281"
4073,"48.829009,2.294666"
4074,"48.856875,2.345022"
4075,"48.851101,2.361441"
4076,"48.8183969,2.3704259"
4077,"48.873262167,2.296150333"
4078,"48.834231,2.389705"
4079,"48.946425,2.282978"
4080,"48.860063099,2.375452257"
4081,"48.827838968,2.358524378"
4082,"48.799799,2.355142"
4083,"48.834425,2.38959"
4084,"48.978761,2.409961"
4085,"48.834446,2.389731"
4086,"48.89981,2.345671"
4087,"48.839154,2.254656"
4088,"48.888289,2.331873"
4089,"48.827863,2.366776"
4090,"48.838582,2.264041"
4091,"48.891694,2.333563"
4092,"48.834678,2.386109"
4093,"48.839025986,2.32244033"
4094,"48.885077,2.320735"
4095,"48.851725,2.301267"
4096,"48.874586583,2.355499958"
4097,"48.866725,2.290189"
4098,"48.852705,2.290763"
4099,"48.859526,2.274507"
4100,"48.863418,2.335138"
4101,"48.877071666,2.366304033"
4102,"48.846105,2.308661"
4103,"48.88946,2.333707"
4104,"48.845261,2.297907"
4105,"48.832895,2.346872"
4106,"48.836429,2.30162"
4107,"48.836135,2.402935"
4108,"48.831199,2.305371"
4109,"48.893125,2.362003"
4110,"48.854588,2.336651"
4111,"48.843735,2.259199"
4112,"48.847151,2.28614"
4113,"48.896282,2.384351"
4114,"48.869923,2.301283"
4115,"48.85014,2.354906"
4116,"48.882097,2.334478"
4117,"48.897194,2.344212"
4118,"48.868108,2.402086"
4119,"48.838618,2.380906"
4120,"48.885330751,2.344622025"
4121,"48.98907,2.060505"
4122,"48.84964,2.324814"
4123,"48.838855,2.299272"
4124,"48.886828,2.346733"
4125,"48.820118,2.355709"
4126,"48.862983,2.40206"
4127,"48.852746,2.265362"
4128,"48.932428,2.32455"
4129,"48.730748,2.304003"
4130,"48.834579,2.389772"
4131,"48.834451,2.389806"
4132,"48.8567,2.280675"
4133,"48.8278,2.366745"
4134,"48.91711,2.38979"
4135,"48.835994,2.261036"
4136,"48.857527,2.419527"
4137,"48.881475,2.388863"
4138,"48.834579,2.388824"
4139,"48.8562657,2.3709052"
4140,"48.897077,2.436695"
4141,"48.855811,2.407505"
4142,"48.879997,2.302134"
4143,"48.822706,2.364673"
4144,"48.834407,2.389659"
4145,"48.864011,2.313835"
4146,"48.889497,2.398719"
4147,"48.834539,2.389561"
4148,"48.8343801,2.3895362"
4149,"48.822847,2.364567"
4150,"48.829115,2.302631"
4151,"48.8344,2.389556"
4152,"48.862884,2.400191"
4153,"48.834296,2.389936"
4154,"48.825145,2.304018"
4155,"48.898775,2.223781"
4156,"48.885329841,2.34464439"
4157,"48.849097,2.409208"
4158,"48.8343392,2.3897515"
4159,"48.834579,2.389667"
4160,"48.822719,2.364487"
4161,"48.780528,2.256458"
4162,"48.878986,2.371268"
4163,"48.769207,2.004736"
4164,"48.864405,2.427536"
4165,"48.841151,2.355808"
4166,"48.834303,2.389512"
4167,"48.852381,2.348935"
4168,"48.901257,2.557352"
4169,"48.85041,2.28851"
4170,"48.859892,2.2731"
4171,"48.888201,2.29354"
4172,"48.864837,2.313041"
4173,"48.834469,2.389584"
4174,"48.837652,2.397385"
4175,"48.98455,2.359538"
4176,"48.854789,2.295025"
4177,"48.850891386,2.266987134"
4178,"49.709786,13.247563"
4179,"48.834387,2.389708"
4180,"48.85646,2.32413"
4181,"46.791681,21.677264"
4182,"48.834428,2.389553"
4183,"48.861831,2.361612"
4184,"48.917333,2.404422"
4185,"48.834467,2.389932"
4186,"48.829916,2.300023"
4187,"48.8343415,2.389638"
4188,"48.992997,2.364803"
4189,"48.851684,2.33721"
4190,"48.834339,2.389864"
4191,"48.85236,2.371962"
4192,"48.87056,2.398414"
4193,"48.864591,2.411995"
4194,"48.852763,2.262321"
4195,"48.852967,2.411601"
4196,"48.823065,2.30492"
4197,"48.8343956,2.3896257"
4198,"48.829176,2.306323"
4199,"48.834457,2.389747"
4200,"48.834171,2.389831"
4201,"48.956517,2.500488"
4202,"48.871522,2.319537"
4203,"48.856058,2.37726"
4204,"48.839057,2.299167"
4205,"48.834332,2.389842"
4206,"48.875418,2.308932"
4207,"48.838516,2.304925"
4208,"48.834479,2.38965"
4209,"48.8344859,2.38966"
4210,"48.786005,2.445796"
4211,"48.834557,2.3898"
4212,"48.84251,2.400975"
4213,"48.91116,2.400288"
4214,"48.86263,2.356895"
4215,"48.83437,2.389439"
4216,"48.837541,2.253159"
4217,"48.809921,2.349428"
4218,"48.778761,2.419681"
4219,"48.873297,2.300188"
4220,"48.866588,2.387135"
4221,"48.843836,2.322827"
4222,"48.8359,2.399791"
4223,"48.854754,2.295207"
4224,"48.868837,2.320837"
4225,"48.899303,2.352287"
4226,"48.831617,2.27805"
4227,"48.855320271,2.370480336"
4228,"48.887617,2.306238"
4229,"48.874075,2.300246"
4230,"48.845315,2.26073"
4231,"48.869531,2.378392"
4232,"48.881341,2.32855"
4233,"48.869063,2.387973"
4234,"48.86275,2.378065"
4235,"48.851951,2.369353"
4236,"48.882474,2.339395"
4237,"48.871388,2.37238"
4238,"48.893215,2.337541"
4239,"48.851181,2.384876"
4240,"48.891166,2.341397"
4241,"48.82748479,2.335561551"
4242,"48.8327377,2.3071061"
4243,"48.833858,2.327371"
4244,"48.834584,2.389755"
4245,"50.917022,-1.386393"
4246,"48.871712,2.306077"
4247,"48.892242,2.329611"
4248,"48.88766,2.30693"
4249,"48.881645,2.292353"
4250,"48.846451,2.415555"
4251,"48.886407,2.381764"
4252,"48.870383,2.349232"
4253,"48.83497,2.30564"
4254,"48.889166,2.332401"
4255,"48.841946,2.298181"
4256,"48.848907,2.362784"
4257,"48.849233,2.345672"
4258,"48.834463,2.389713"
4259,"48.852942,2.411643"
4260,"48.865066,2.309873"
4261,"48.846539,2.415499"
4262,"48.819809,2.355993"
4263,"48.866965,2.373319"
4264,"48.856442,2.279814"
4265,"48.833249,2.294645"
4266,"48.886121,2.34404"
4267,"48.825484,2.316463"
4268,"48.841298,2.263903"
4269,"48.892145,2.361736"
4270,"48.834424,2.389455"
4271,"48.8718,2.337945"
4272,"48.893528,2.2993"
4273,"48.891793,2.333503"
4274,"57.7213543,11.9732594"
4275,"48.944301,2.371079"
4276,"48.834417,2.389682"
4277,"48.834426,2.389744"
4278,"48.8343694,2.3895258"
4279,"48.815803,2.521817"
4280,"48.898132,2.325288"
4281,"48.932193,2.349829"
4282,"48.83144,2.292757"
4283,"48.840436,2.402379"
4284,"48.8639,2.4193"
4285,"48.834415,2.389426"
4286,"48.869026,2.382878"
4287,"48.830382,2.233917"
4288,"48.835638,2.378873"
4289,"48.977698,2.412655"
4290,"48.863703,2.399059"
4291,"48.8343463,2.3896202"
4292,"48.855573,2.262267"
4293,"48.863357,2.40552"
4294,"48.790937,2.461041"
4295,"48.868639,2.274651"
4296,"48.834442,2.390366"
4297,"48.824946,2.323671"
4298,"48.883661,2.349796"
4299,"48.871704,2.30097"
4300,"48.855294,2.30689"
4301,"48.834295,2.389854"
4302,"48.834411,2.389713"
4303,"48.863796,2.382487"
4304,"48.809,2.344516"
4305,"48.898503,2.367084"
4306,"48.884062,2.370897"
4307,"48.826215515,2.3775203"
4308,"48.828828829,2.38119682"
4309,"48.880586,2.427306"
4310,"48.877941,2.309954"
4311,"48.856323,2.321164"
4312,"48.872338,2.309106"
4313,"48.868516,2.274571"
4314,"48.852357,2.3722"
4315,"48.832215,2.360225"
4316,"48.877376,2.294701"
4317,"48.886528,2.332852"
4318,"48.892645,2.304024"
4319,"48.826005,2.375908"
4320,"48.842673,2.313072"
4321,"48.850533,2.312299"
4322,"48.830476,2.276416"
4323,"48.873596,2.370372"
4324,"48.838194,2.27831"
4325,"48.897427,2.32422"
4326,"48.873026,2.342969"
4327,"48.899697,2.345746"
4328,"48.853192,2.314227"
4329,"48.870316,2.366113"
4330,"48.840406,2.368792"
4331,"48.862942,2.315256"
4332,"48.884909,2.337423"
4333,"48.872915,2.376149"
4334,"48.85636,2.302911"
4335,"48.845008,2.369763"
4336,"48.848546,2.331644"
4337,"48.870878,2.283941"
4338,"48.861245,2.383013"
4339,"48.865389,2.376148"
4340,"48.865039,2.275037"
4341,"48.858888,2.315331"
4342,"48.8319,2.352697"
4343,"48.831257,2.319791"
4344,"48.869186,2.367226"
4345,"48.888271,2.390174"
4346,"48.889147,2.318598"
4347,"48.821642,2.321819"
4348,"48.834448,2.333571"
4349,"48.871669,2.340772"
4350,"48.890467,2.335644"
4351,"48.83562,2.372252"
4352,"48.849504,2.294432"
4353,"48.843079,2.320345"
4354,"48.83074,2.311458"
4355,"48.864964,2.384878"
4356,"48.833544,2.35645"
4357,"48.847926,2.302122"
4358,"48.845618,2.371007"
4359,"48.84901,2.402752"
4360,"48.856903,2.280529"
4361,"48.865729,2.315825"
4362,"48.838676,2.396535"
4363,"48.82612,2.341459"
4364,"48.873557,2.3"
4365,"48.827827,2.3082"
4366,"48.853035,2.262609"
4367,"48.832676,2.278563"
4368,"48.869961,2.301544"
4369,"48.834406,2.389913"
4370,"48.86683,2.39417"
4371,"48.834607,2.389274"
4372,"48.875986,2.370134"
4373,"48.855642,2.333691"
4374,"48.822928,2.321915"
4375,"48.834479,2.38984"
4376,"48.875317,2.334775"
4377,"48.845312,2.297878"
4378,"48.819462,2.348569"
4379,"48.833973,2.283842"
4380,"48.838248,2.240803"
4381,"48.865551,2.295826"
4382,"48.835772,2.299675"
4383,"48.870038,2.305779"
4384,"48.8700456,2.3120682"
4385,"48.836116,2.40291"
4386,"48.855752,2.262385"
4387,"48.874298,2.275943"
4388,"48.834656,2.389758"
4389,"48.843464,2.327975"
4390,"48.865696,2.322051"
4391,"48.859849,2.273101"
4392,"48.834358,2.389865"
4393,"48.8298,2.299741"
4394,"48.84889,2.287455"
4395,"48.891755,2.382266"
4396,"48.894687,2.36712"
4397,"48.86164,2.286283"
4398,"48.836498,2.310276"
4399,"48.864788,2.36662"
4400,"48.89278,2.340074"
4401,"48.846269,2.279185"
4402,"48.831791,2.320241"
4403,"48.863438,2.335132"
4404,"48.859143,2.355574"
4405,"48.888851,2.362686"
4406,"48.884484,2.368784"
4407,"48.821166,2.378638"
4408,"48.842776,2.28584"
4409,"48.856247,2.346768"
4410,"48.839944,2.323298"
4411,"48.863716,2.359843"
4412,"48.828884,2.2945"
4413,"48.896766,2.3272"
4414,"48.864004,2.290597"
4415,"48.8393277,2.262378696"
4416,"48.896943,2.35288"
4417,"48.864286,2.282985"
4418,"48.895085,2.343231"
4419,"48.862892,2.315783"
4420,"48.846026,2.329822"
4421,"48.879566,2.377536"
4422,"48.859159,2.286904"
4423,"48.862016,2.311551"
4424,"48.855657,2.333757"
4425,"48.848220096,2.375952503"
4426,"48.869055,2.382944"
4427,"48.840596,2.378884"
4428,"48.887216162,2.375565555"
4429,"48.83385,2.321691"
4430,"48.844890345,2.342559149"
4431,"48.841538,2.327143"
4432,"48.838586,2.380902"
4433,"48.876115,2.380251"
4434,"48.859318,2.356823"
4435,"48.82688,2.300636"
4436,"48.85126,2.259575"
4437,"48.842893,2.256285"
4438,"48.842918445,2.414488263"
4439,"48.889699,2.382585"
4440,"48.831559,2.277289"
4441,"48.838399,2.300081"
4442,"48.842384,2.410907"
4443,"48.877854,2.318372"
4444,"48.867906,2.395579"
4445,"48.834401,2.389707"
4446,"48.898555,2.223286"
4447,"48.855863,2.277709"
4448,"48.82995,2.299671"
4449,"48.834412,2.389703"
4450,"48.8273817,2.3048817"
4451,"48.962389,2.452863"
4452,"48.82512,2.30406"
4453,"48.825396,2.349477"
4454,"48.834356,2.390032"
4455,"48.834344,2.389704"
4456,"48.940971,2.356686"
4457,"48.94081,2.356206"
4458,"48.895445,2.317496"
4459,"48.83882598,2.299134543"
4460,"48.85278,2.262325"
4461,"48.834524,2.396818"
4462,"48.834427,2.389652"
4463,"49.03802,2.498318"
4464,"48.839386,2.314744"
4465,"48.821656,2.321782"
4466,"48.8343691,2.3895158"
4467,"48.870462,2.332371"
4468,"48.913378,2.439083"
4469,"48.834245,2.389466"
4470,"48.835778,2.351178"
4471,"48.957801,2.469838"
4472,"48.834405,2.389574"
4473,"48.928386,2.36155"
4474,"48.838207,2.2733"
4475,"48.876065,2.286218"
4476,"48.860515,2.411369"
4477,"48.827927,2.369458"
4478,"48.949336,2.28077"
4479,"48.89366,2.313623"
4480,"48.868526,2.359349"
4481,"48.830125,2.299886"
4482,"48.889215,2.378499"
4483,"48.8343884,2.3895263"
4484,"48.834384,2.389578"
4485,"48.859162,2.330681"
4486,"48.876336,2.30107"
4487,"48.863703,2.425521"
4488,"48.855047,2.265666"
4489,"48.834533,2.389642"
4490,"48.824728,2.313522"
4491,"48.88432,2.403998"
4492,"48.864003,2.368741"
4493,"48.834479,2.38997"
4494,"48.886375,2.270193"
4495,"48.862989,2.402123"
4496,"48.862196,2.36864"
4497,"48.834486,2.389666"
4498,"48.895901,2.325987"
4499,"48.836707,2.318445"
4500,"48.86319,2.301518"
4501,"48.838433,2.300098"
4502,"48.892181,2.381254"
4503,"48.848631,2.285272"
4504,"48.894207308,2.322436783"
4505,"48.846551,2.289653"
4506,"48.853209,2.376893"
4507,"48.837237125,2.355190764"
4508,"48.83898362,2.322469459"
4509,"48.86292,2.366668"
4510,"48.836214,2.353337"
4511,"48.858605,2.349227"
4512,"48.861851,2.31162"
4513,"48.881567,2.331546"
4514,"48.833318,2.294616"
4515,"48.84545,2.252876"
4516,"48.87533,2.39505"
4517,"48.964847,2.370043"
4518,"48.834382,2.389641"
4519,"48.872273,2.397818"
4520,"48.886035,2.398997"
4521,"48.864099772,2.290479983"
4522,"48.866435,2.383697"
4523,"48.85279,2.335061"
4524,"48.868908,2.395074"
4525,"48.876845,2.391892"
4526,"48.883767,2.343376"
4527,"48.849211,2.3139"
4528,"48.885414,2.340378"
4529,"48.843775,2.277247"
4530,"48.860613,2.298752"
4531,"48.888593,2.332926"
4532,"48.848836,2.263809"
4533,"48.83149,2.366451"
4534,"48.836781,2.31854"
4535,"48.879271,2.288883"
4536,"48.857449,2.399629"
4537,"48.894692,2.367108"
4538,"48.857709,2.276296"
4539,"48.866952,2.373256"
4540,"48.889487,2.382668"
4541,"48.877581,2.370758"
4542,"48.884476,2.343403"
4543,"48.840185,2.315049"
4544,"48.848077,2.371871"
4545,"48.835895,2.399969"
4546,"48.834157,2.389901"
4547,"48.830774,2.399291"
4548,"49.05014,2.412706"
4549,"48.874734,2.381113"
4550,"48.832945,2.387555"
4551,"48.8815,2.367468"
4552,"48.826206,2.347918"
4553,"48.90478,2.279012"
4554,"48.82782,2.366693"
4555,"48.83439,2.389654"
4556,"48.87601,2.381143"
4557,"48.8343602,2.3895066"
4558,"48.850944,2.362386"
4559,"48.899762,2.372113"
4560,"48.86443,2.348826"
4561,"48.835405,2.389465"
4562,"48.890322,2.342008"
4563,"48.859795,2.329821"
4564,"48.857321,2.346493"
4565,"48.933703,2.288945"
4566,"48.8343717,2.3897191"
4567,"48.888747,2.335799"
4568,"48.859551,2.292279"
4569,"48.843562,2.263382"
4570,"48.929938,2.44979"
4571,"48.887212,2.380716"
4572,"48.870733,2.313612"
4573,"48.83439,2.389762"
4574,"48.864235,2.406901"
4575,"48.859019,2.278359"
4576,"48.878757,2.395609"
4577,"48.834081,2.389567"
4578,"48.82868,2.322359"
4579,"48.842449,2.289478"
4580,"48.871467,2.408988"
4581,"48.831307,2.366487"
4582,"48.89518,2.37654"
4583,"48.8345,2.389698"
4584,"48.94889,2.351875"
4585,"48.842718,2.269157"
4586,"48.834344,2.389501"
4587,"48.900696,2.230335"
4588,"48.845233,2.260556"
4589,"48.946803,2.282585"
4590,"48.834509,2.389516"
4591,"48.854732,2.344464"
4592,"48.898695,2.22364"
4593,"48.849042,2.405652"
4594,"48.912423,2.361209"
4595,"48.790353,2.454199"
4596,"48.834397,2.389695"
4597,"48.828706,2.295855"
4598,"48.897416,2.404547"
4599,"48.88635,2.348109"
4600,"48.834552,2.295834"
4601,"48.834700077,2.400944956"
4602,"48.820327,2.365361"
4603,"48.845492,2.35015"
4604,"48.832752,2.28872"
4605,"48.827831,2.299344"
4606,"51.269737,4.369085"
4607,"48.885346,2.319758"
4608,"48.834376,2.3896543"
4609,"48.834458,2.389654"
4610,"48.8457598,2.3243719"
4611,"48.834387,2.389687"
4612,"48.882769,2.376017"
4613,"48.871105,2.29741"
4614,"48.834457,2.389739"
4615,"48.834507,2.389808"
4616,"48.874033,2.382404"
4617,"48.834409,2.389618"
4618,"48.828934,2.306398"
4619,"48.848925,2.26525"
4620,"48.86257,2.29826"
4621,"48.853318211,2.266569319"
4622,"48.892183,2.385396"
4623,"48.826075,2.299206"
4624,"48.834174,2.389954"
4625,"48.834525,2.389763"
4626,"48.834513,2.389789"
4627,"48.836546,2.280274"
4628,"48.827722,2.300442"
4629,"48.886509,2.290475"
4630,"48.898963,2.22347"
4631,"48.834354,2.38962"
4632,"48.829736,2.299956"
4633,"48.834381,2.389574"
4634,"48.855867,2.407718"
4635,"48.83908,2.254542"
4636,"48.861164,2.412982"
4637,"48.843305,2.374315"
4638,"48.92846,2.361473"
4639,"48.866361,2.383615"
4640,"48.886239,2.328212"
4641,"48.877578,2.288074"
4642,"48.842683,2.298599"
4643,"48.834517,2.389629"
4644,"48.834526,2.389605"
4645,"48.869461,2.393412"
4646,"48.845514,2.252696"
4647,"48.861903,2.373458"
4648,"48.873108,2.396803"
4649,"48.83303,2.291999"
4650,"48.899544,2.3455914"
4651,"48.889844,2.377592"
4652,"48.828869,2.294605"
4653,"48.834552,2.389809"
4654,"48.834619,2.389745"
4655,"48.865145,2.327413"
4656,"48.838617,2.404105"
4657,"48.884832,2.285294"
4658,"48.888858,2.335744"
4659,"48.854851,2.37806"
4660,"48.837399,2.252924"
4661,"48.871598,2.381311"
4662,"48.852545,2.2873"
4663,"48.871277,2.400881"
4664,"48.825877,2.318862"
4665,"48.848429,2.383783"
4666,"48.866967,2.409893"
4667,"48.852536,2.290334"
4668,"48.863089,2.364111"
4669,"48.902822,2.283356"
4670,"48.858764,2.293336"
4671,"48.852282,2.372166"
4672,"48.88148,2.344822"
4673,"48.869544,2.309483"
4674,"48.841124,2.335955"
4675,"48.881922,2.291073"
4676,"48.856313,2.314806"
4677,"48.832217,2.397237"
4678,"48.882162292,2.332175487"
4679,"48.874679,2.372642"
4680,"48.876316,2.334598"
4681,"48.87992,2.328715"
4682,"48.875816,2.402276"
4683,"48.849117,2.33931"
4684,"48.88644,2.347701"
4685,"48.868089,2.324427"
4686,"48.855444,2.38195"
4687,"48.864763,2.288342"
4688,"48.864095,2.358798"
4689,"48.867485338,2.375891707"
4690,"48.854473649,2.342684514"
4691,"48.88701,2.323131"
4692,"48.873054,2.342741"
4693,"48.881464,2.374466"
4694,"48.83159,2.376664"
4695,"48.868327,2.383926"
4696,"48.875638,2.31864"
4697,"48.873355,2.300018"
4698,"48.83314,2.390018"
4699,"48.849047,2.402905"
4700,"48.837806,2.295323"
4701,"48.854207,2.297648"
4702,"48.890698,2.298271"
4703,"48.864043,2.372246"
4704,"48.888208,2.34979"
4705,"48.888170114,2.321179392"
4706,"48.843934549,2.322576749"
4707,"48.833941,2.364873"
4708,"48.864809,2.364369"
4709,"48.856591,2.370753"
4710,"48.856618,2.28187"
4711,"48.834459,2.389496"
4712,"48.889077,2.343659"
4713,"48.833379,2.294858"
4714,"48.845668,2.410092"
4715,"48.876949,2.2859"
4716,"48.891308,2.36228"
4717,"48.943216,2.202631"
4718,"48.88967,2.373694"
4719,"48.878313,2.312263"
4720,"48.84775,2.286276"
4721,"48.830237,2.320252"
4722,"48.828618,2.30808"
4723,"48.834453,2.389747"
4724,"48.8343632,2.3895952"
4725,"48.824506,2.323272"
4726,"48.830848,2.399178"
4727,"48.832102,2.397222"
4728,"48.868934,2.395149"
4729,"48.933537,2.224499"
4730,"48.834386,2.389648"
4731,"48.834158,2.389929"
4732,"48.826871,2.331873"
4733,"48.834441,2.38975"
4734,"48.834366,2.389663"
4735,"48.834224,2.389849"
