,loc
467,"48.834299,2.389696"
468,"48.8414825,2.2665146"
469,"48.8867649,2.3144665"
470,"48.834504,2.389534"
471,"48.848554,2.285548"
472,"48.8463419,2.2790035"
473,"48.956472,2.500291"
474,"48.879526,2.399582"
475,"48.83835,2.30015"
476,"48.877251,2.366285"
477,"48.844885,2.2561518"
478,"48.834355,2.389859"
479,"48.860144,2.291774"
480,"48.881080104,2.371738767"
481,"48.898296,2.383033"
482,"48.901052,2.361928"
483,"48.834484,2.38978"
484,"48.894193,2.383864"
485,"48.834576,2.389806"
486,"48.824069,2.316457"
487,"48.834626,2.338012"
488,"48.825036,2.326658"
489,"48.82886,2.306173"
490,"48.89133,2.34309"
491,"48.841407,2.349823"
492,"48.836346,2.280225"
493,"48.876336,2.38776"
494,"48.873819997,2.350701286"
495,"48.834485,2.333565"
496,"48.835668,2.286414"
497,"48.850284,2.368661"
498,"48.884636,2.341027"
499,"48.83798,2.370437"
500,"48.863615624,2.388753411"
501,"48.855531,2.292166"
502,"48.859481,2.340587"
503,"48.879797,2.32724"
504,"48.846281,2.329806"
505,"48.86651402,2.381311255"
506,"48.858914844,2.391069585"
507,"48.837713,2.277519"
508,"48.871142,2.302595"
509,"48.852816,2.335148"
510,"48.864353,2.391191"
511,"48.872563,2.337079"
512,"48.859768,2.296565"
513,"48.846741,2.342911"
514,"48.891702,2.303798"
515,"48.85745,2.290762"
516,"48.887859,2.311547"
517,"48.863886,2.299912"
518,"48.953856,2.744403"
519,"48.88206,2.328241"
520,"48.834703,2.337941"
521,"48.831506,2.328498"
522,"48.855925,2.293022"
523,"48.843648,2.315361"
524,"48.854169,2.307486"
525,"48.849556,2.352025"
526,"48.848038,2.302175"
527,"48.864048,2.358875"
528,"48.894992,2.359552"
529,"48.85605,2.359116"
530,"48.89104336,2.383634265"
531,"48.834935,2.389735"
532,"48.86053,2.349313"
533,"48.857128,2.297022"
534,"48.848749,2.347336"
535,"48.848159,2.376034"
536,"48.855376,2.270855"
537,"48.87771,2.405287"
538,"48.841517615,2.349615572"
539,"48.837188,2.276994"
540,"48.838407,2.30007"
541,"48.886369,2.381702"
542,"48.843908,2.387173"
543,"48.869998,2.332034"
544,"48.895157,2.343353"
545,"48.963521,2.258018"
546,"48.841164,2.264168"
547,"48.86411,2.332341"
548,"48.834364,2.389603"
549,"48.854745,2.306475"
550,"48.891015,2.383483"
551,"48.899036,2.224748"
552,"48.830618,2.324546"
553,"48.83436,2.389543"
554,"48.834637,2.389933"
555,"48.839163,2.268816"
556,"48.834146,2.38985"
557,"48.833939,2.292956"
558,"48.887106,2.380856"
559,"48.888452,2.391554"
560,"48.834526,2.389757"
561,"48.89958,2.22359"
562,"48.836324,2.292381"
563,"48.833214,2.292161"
564,"48.890493,2.342061"
565,"48.834439,2.389729"
566,"48.833454,2.356378"
567,"48.8394,2.289291"
568,"48.889457,2.398719"
569,"48.81998,2.355743"
570,"48.826662,2.327498"
571,"48.834472,2.38973"
572,"48.859115,2.379161"
573,"48.876097,2.320999"
574,"48.834625,2.389744"
575,"48.846856,2.268594"
576,"48.861929,2.324848"
577,"48.827668,2.300364"
578,"48.83512,2.303902"
579,"48.824373,2.376204"
580,"48.846675,2.257972"
581,"48.854568,2.319219"
582,"48.834551,2.38979"
583,"48.834382,2.389681"
584,"48.863526,2.342323"
585,"48.889138,2.297824"
586,"48.834553,2.389573"
587,"48.83444,2.389816"
588,"48.860123,2.409443"
589,"48.8242777,2.3753705"
590,"48.834418,2.389774"
591,"48.869273,2.350386"
592,"48.821912,2.372731"
593,"48.83451077,2.396516724"
594,"48.838437,2.300057"
595,"48.874157,2.324583"
596,"48.895033509,2.363767487"
597,"48.822013,2.363116"
598,"48.830629,2.313941"
599,"48.888635,2.332901"
600,"48.83592,2.399891"
601,"48.864232,2.406915"
602,"48.843219,2.326741"
603,"48.887221,2.38084"
604,"48.847918,2.305483"
605,"48.873426872,2.3910482"
606,"48.850764,2.327042"
607,"48.832268,2.398658"
608,"48.8265763,2.334663909"
609,"48.833523,2.356495"
610,"48.88945,2.340663"
611,"48.86082,2.361092"
612,"48.848445,2.350768"
613,"48.898689,2.374243"
614,"48.844919,2.369704"
615,"48.82927,2.308646"
616,"48.893645,2.345904"
617,"48.864137,2.342009"
618,"48.835973,2.359001"
619,"48.886242,2.336375"
620,"48.863941,2.368922"
621,"48.838937,2.299263"
622,"48.838331,2.371535"
623,"48.855468547,2.390133399"
624,"48.838836,2.345896"
625,"48.89654,2.325286"
626,"48.859565,2.274673"
627,"48.826954,2.370835"
628,"48.8672786,2.2798181"
629,"48.854070329,2.265500647"
630,"48.830076,2.299483"
631,"48.834807,2.386234"
632,"48.847442954,2.389133204"
633,"48.860816,2.36739"
634,"48.851885,2.288474"
635,"48.846309,2.282991"
636,"48.871379,2.293427"
637,"48.85601,2.293119"
638,"48.861862,2.311535"
639,"48.8268,2.333584"
640,"48.825404,2.314255"
641,"48.882417,2.389417"
642,"48.92849,2.361353"
643,"48.837578,2.310791"
644,"48.834419,2.389577"
645,"48.8832585,2.388936333"
646,"48.8586763,2.3459139"
647,"48.834484,2.295853"
648,"48.8344,2.389698"
649,"48.840877,2.262235"
650,"48.834315,2.389845"
651,"48.834471,2.389756"
652,"48.846846847,2.38205349"
653,"48.835818,2.338142"
654,"48.853799,2.396572"
655,"48.875107,2.298209"
656,"48.821233,2.352396"
657,"48.825305,2.367145"
658,"48.8343757,2.3895402"
659,"48.853243,2.368129"
660,"48.87465,2.311787"
661,"48.851287,2.272423"
662,"48.864585,2.300055"
663,"48.886817,2.346606"
664,"48.834438,2.389626"
665,"48.8779182,2.4291825"
666,"48.834503,2.389518"
667,"48.933732,2.385604"
668,"48.891338,2.362365"
669,"48.817922,2.359031"
670,"48.852444,2.37218"
671,"48.83418,2.389798"
672,"48.852514,2.341132"
673,"48.8343588,2.3895345"
674,"48.898763,2.223753"
675,"48.870076,2.486122"
676,"48.842805,2.279803"
677,"48.948882,2.351529"
678,"48.871095,2.378844"
679,"48.846703,2.372494"
680,"48.856243,2.314824"
681,"48.888431,2.317265"
682,"48.890438,2.31723"
683,"48.854853,2.29524"
684,"48.842491,2.289388"
685,"48.882534,2.380429"
686,"48.933111,2.293"
687,"48.852936,2.393108"
688,"48.885275,2.344448"
689,"48.863251,2.405504"
690,"48.843319,2.320216"
691,"48.889521,2.340696"
692,"48.862914,2.337601"
693,"48.851759,2.337195"
694,"48.864757,2.288565"
695,"48.885195,2.30933"
696,"48.859071,2.27827"
697,"48.846118,2.298875"
698,"48.887988,2.351455"
699,"48.866492,2.360358"
700,"48.840341,2.368757"
701,"48.869527,2.339169"
702,"48.827181,2.367019"
703,"48.871877,2.314127"
704,"48.85366,2.287784"
705,"48.878838,2.331487"
706,"48.88159,2.318904"
707,"48.881321,2.328464"
708,"48.884889,2.285307"
709,"48.848499,2.260595"
710,"48.847955,2.264954"
711,"48.879687,2.389731"
712,"48.854576,2.319847"
713,"48.820078,2.361527"
714,"48.831676,2.354323"
715,"48.866441,2.390049"
716,"48.827102,2.292461"
717,"48.832466005,2.278749259"
718,"48.831598,2.385546"
719,"48.871183,2.332936"
720,"48.83042,2.364283"
721,"48.84326,2.385187"
722,"48.928298,2.383195"
723,"48.834323,2.389836"
724,"48.899178,2.223715"
725,"48.870077,2.396004"
726,"48.834584,2.389727"
727,"48.870436,2.332215"
728,"48.860213,2.285401"
729,"48.874055,2.336955"
730,"48.852666109,2.281549157"
731,"48.869534,2.313346"
732,"46.643987,1.55937"
733,"48.834473,2.389839"
734,"48.834213,2.389783"
735,"48.834596,2.389505"
736,"48.845131,2.258564"
737,"48.855563,2.262323"
738,"48.834412,2.389704"
739,"48.864211,2.406941"
740,"50.015261,2.043615"
741,"48.852757,2.3584"
742,"48.899364,2.381773"
743,"48.832171,2.397297"
744,"48.861943,2.364781"
745,"48.836135,2.260802"
746,"48.8723834,2.2967523"
747,"48.851215,2.404162"
748,"48.843553,2.263291"
749,"48.841243,2.26399"
750,"48.875264,2.38032"
751,"48.874450684,2.344165435"
752,"48.83439,2.389781"
753,"48.848565,2.275756"
754,"48.827865,2.38641"
755,"48.84312,2.319289"
756,"48.842353,2.34908"
757,"48.834514,2.389726"
758,"48.856068,2.250801"
759,"48.829721,2.30871"
760,"48.898001,2.349007"
761,"48.856858,2.324533"
762,"41.376961,2.163114"
763,"48.834417,2.389727"
764,"48.777118,11.460496"
765,"48.953725,2.744228"
766,"48.8344355,2.3899465"
767,"48.879805,2.393494"
768,"48.925895,2.230243"
769,"48.821713,2.321742"
770,"48.893998,2.317756"
771,"48.944726,2.286138"
772,"48.945913,2.283996"
773,"48.834457,2.3897"
774,"48.827777,2.300439"
775,"48.845595,2.252784"
776,"48.87709,2.285799"
777,"48.870971,2.331383"
778,"48.865068,2.407248"
779,"48.832132,2.30314"
780,"48.895894,2.381716"
781,"48.876938,2.334395"
782,"48.869581,2.389596"
783,"48.856418205,2.383345505"
784,"48.888769,2.345534"
785,"48.864183,2.362131"
786,"48.842991,2.256064"
787,"48.846848,2.294273"
788,"48.843205,2.320372"
789,"48.881623,2.3811"
790,"48.855345,2.391631"
791,"48.831397,2.292701"
792,"48.82753,2.32601"
793,"48.859734,2.375324"
794,"48.826082,2.322373"
795,"48.857083,2.341919"
796,"48.897232,2.342072"
797,"48.821134,2.319671"
798,"48.879567659,2.293530123"
799,"48.868824,2.321067"
800,"48.86843431,2.274559901"
801,"48.842696,2.300248"
802,"48.834761,2.407778"
803,"48.871035,2.345178"
804,"48.868745,2.389431"
805,"48.886417,2.322383"
806,"48.871694,2.338015"
807,"48.843489,2.366154"
808,"48.878736512,2.410400637"
809,"48.832953,2.30702"
810,"48.824459,2.323288"
811,"48.872679,2.294616"
812,"48.877114,2.366372"
813,"48.867707,2.315038"
814,"48.839288,2.266748"
815,"48.879627,2.339479"
816,"48.852027,2.299449"
817,"48.841624908,2.313850922"
818,"48.883775,2.374329"
819,"48.87534,2.359033"
820,"48.868168,2.281533"
821,"48.830206,2.36445"
822,"48.838915,2.380586"
823,"48.836202,2.353208"
824,"48.872925,2.294106"
825,"48.866192,2.403385"
826,"48.854917,2.265723"
827,"48.834393,2.389674"
828,"48.916288,2.433206"
829,"48.852784,2.410781"
830,"48.8577,2.290101"
831,"43.729663,26.932492"
832,"48.94524,2.285178"
833,"48.880164,2.398333"
834,"48.892269,2.385465"
835,"48.838514,2.357307"
836,"48.904793,2.357686"
837,"48.834424,2.389553"
838,"48.818527,2.35853"
839,"48.887662,2.344592"
840,"48.895917,2.381651"
841,"48.894517,2.381365"
842,"48.8343346,2.3897299"
843,"48.848752,2.284394"
844,"48.863714,2.374792"
845,"48.83438,2.3897"
846,"34.931338,-2.301238"
847,"48.871589,2.387741"
848,"48.8345,2.389606"
849,"48.842404,2.343611"
850,"49.041648,2.415711"
851,"48.864147,2.331552"
852,"48.860658,2.28142"
853,"48.8343496,2.3896313"
854,"48.8680661,2.3244995"
855,"48.855131,2.406998"
856,"48.8479557,2.2651116"
857,"48.958584,2.276656"
858,"48.834487,2.389724"
859,"48.894436,2.443491"
860,"48.898691,2.223786"
861,"48.843553,2.259535"
862,"49.049025,2.411471"
863,"48.829387,2.308533"
864,"48.894158,2.383961"
865,"48.845006,2.40847"
866,"48.886299,2.285479"
867,"48.834374,2.389531"
868,"48.8345,2.389789"
869,"48.862696,2.306043"
870,"48.888178,2.29358"
871,"48.834311,2.389844"
872,"48.825532,2.367368"
873,"48.882974,2.293427"
874,"48.87199,2.300438"
875,"48.8576291,2.3357406"
876,"48.834403,2.389503"
877,"48.87044,2.332128"
878,"48.834451,2.389651"
879,"48.948613,2.43837"
880,"48.845655,2.341614"
881,"48.885693,2.349005"
882,"48.83452,2.38983"
883,"49.020124,2.075508"
884,"48.828984,2.294701"
885,"48.834279,2.38975"
886,"48.866724,2.316842"
887,"48.852319,2.372114"
888,"48.868955,2.383001"
889,"48.869522,2.39323"
890,"47.38911,0.978731"
891,"48.834427,2.389762"
892,"48.924137,2.32019"
893,
894,"48.827166,2.367019"
895,"48.879756,2.302862"
896,"48.898866,2.225446"
897,"48.834425,2.389542"
898,"48.819396,2.374976"
899,"48.834327,2.389676"
900,"48.833879,2.389699"
901,"48.834469,2.389711"
902,"48.89717955,2.342089824"
903,"48.945376,2.284708"
904,"48.89449,2.314063"
905,"48.868331,2.295961"
906,"48.889417,2.340907"
907,"48.854056,2.402446"
908,"48.864541,2.298696"
909,"48.862005,2.269929"
910,"48.882861,2.35947"
911,"48.897739,2.347293"
912,"48.902453,2.328576"
913,"48.957325,2.462301"
914,"48.94485,2.285705"
915,"48.889424356,2.349437919"
916,"48.886779,2.346576"
917,"48.834676,2.389545"
918,"48.863338,2.408764"
919,"48.845817,2.387185"
920,"48.826818,2.332036"
921,"49.120143,1.996089"
922,"48.884351,2.38934"
923,"48.821077,2.319807"
924,"48.86508,2.298932"
925,"48.888923,2.343667"
926,"48.834511,2.389825"
927,"48.834505,2.389641"
928,"48.83457,2.295844"
929,"48.865102,2.407431"
930,"48.812223,2.524867"
931,"48.91578,2.439903"
932,"48.834515,2.389816"
933,"48.842775,2.369806"
934,"48.834442,2.389491"
935,"48.952771,2.281398"
936,"48.820037,2.361583"
937,"48.889522,2.340848"
938,"48.855004,2.265705"
939,"48.8343669,2.3895341"
940,"48.824935,2.311392"
