,capacity,geo_point_2d
256,6,"48.822074047928034,2.3562352741033394"
257,7,"48.83824200432977,2.399960149093969"
258,6,"48.862752709026054,2.3595385589134104"
259,6,"48.84513891028809,2.4026500074026576"
260,5,"48.864189688347274,2.341975583074244"
261,6,"48.85454842198978,2.3553619842431983"
262,6,"48.87998153223085,2.320502442265303"
263,5,"48.85292052839367,2.262515816288493"
264,7,"48.83742003923705,2.306138338427519"
265,6,"48.87455600676915,2.2971683689036766"
266,6,"48.85139135588545,2.2652005042471943"
267,6,"48.85031991386123,2.391885513677186"
268,6,"48.8363312769059,2.385109129996517"
269,6,"48.857630911864405,2.2763560006914796"
270,6,"48.854761619975214,2.3989722913881635"
271,7,"48.83422736892236,2.3138202351383583"
272,6,"48.84158412748934,2.3902182488228223"
273,6,"48.83423815726904,2.397819953027932"
274,7,"48.83113826096215,2.374118068347582"
275,6,"48.836147427871374,2.256335739658638"
276,6,"48.85958786142165,2.3716693414726997"
277,6,"48.861864577558975,2.302307840405865"
278,7,"48.82686492745963,2.306887530894374"
279,6,"48.86949458538912,2.3131854027028833"
280,6,"48.827726177371915,2.3003857821944442"
281,6,"48.835146172213406,2.365627477648971"
282,6,"48.875413903666804,2.3128682211475042"
283,6,"48.850193265066686,2.2885799015968074"
284,6,"48.823056817236726,2.3242922218771294"
285,6,"48.866412187315035,2.29369235608753"
286,6,"48.853618531520716,2.28775792979296"
287,6,"48.85424095299515,2.292174494642516"
288,6,"48.89225591511464,2.3851719449597564"
289,6,"48.884242133596686,2.3457683315474407"
290,6,"48.896322171487604,2.384408367757961"
291,6,"48.89107052338564,2.3739707404246317"
292,6,"48.885799032553685,2.387904672530314"
293,6,"48.85183788669041,2.3631602177602473"
294,5,"48.893342061654934,2.349046542539219"
295,6,"48.86124992324443,2.311569247551512"
296,6,"48.82607162045457,2.34118332595857"
297,7,"48.84335698086585,2.275136761271515"
298,6,"48.883366609203556,2.2990998164611955"
299,6,"48.8248094387756,2.3167438627609593"
300,6,"48.838329385122364,2.353616631551194"
301,5,"48.8332282971388,2.398809248002362"
302,6,"48.86329834231115,2.28513032842771"
303,6,"48.83961201498582,2.323362482383368"
304,6,"48.88263484373508,2.362422798349223"
305,0,"48.866473054545175,2.328590857446805"
306,6,"48.88211454244533,2.3366139132292125"
307,6,"48.86891517230901,2.4055306493773436"
308,5,"48.891794740103194,2.3187286074916478"
309,6,"48.88445796178513,2.3788502891989576"
310,6,"48.8524934531853,2.3331632437887455"
311,6,"48.84988092290141,2.3770419026103684"
312,6,"48.86479606201146,2.3738275587949715"
313,6,"48.844248322797576,2.4022148345843077"
314,6,"48.84706935701031,2.395751898552464"
315,6,"48.85951209836399,2.3826479114169206"
316,6,"48.83080495166036,2.3799707163229424"
317,6,"48.842661379166,2.341394524041696"
318,7,"48.86963764178668,2.3317031051152535"
319,6,"48.85418810990635,2.362272188880149"
320,6,"48.877076611086785,2.3663030590010536"
321,6,"48.856161979359705,2.379029674817867"
322,6,"48.83582894522492,2.349957355362578"
323,12,"48.852158990584385,2.3320179128096368"
324,6,"48.898588265513716,2.337984366639213"
325,6,"48.886629026576074,2.2911660668546823"
326,7,"48.87878626341701,2.2940415876989677"
327,6,"48.84552549369448,2.252730803391578"
328,6,"48.855587801315046,2.2622469092847473"
329,6,"48.833412222734864,2.2945963848302076"
330,5,"48.871671990538964,2.387663121691411"
331,5,"48.899498870254504,2.352315428664101"
332,6,"48.861806971969855,2.3517012040352006"
333,6,"48.84168933994217,2.2626191825985162"
334,6,"48.86642732150245,2.2800915661347534"
335,6,"48.853849558526065,2.3571272713691545"
336,5,"48.87397095013524,2.3823239920948267"
337,6,"48.857418112187304,2.3645861790172247"
338,6,"48.86178563195753,2.365066579968233"
339,6,"48.8574868534067,2.3554869750614373"
340,6,"48.84509953246646,2.3892793782435144"
341,6,"48.87130111570965,2.3624335005639243"
342,7,"48.8779835389289,2.309923377821071"
343,6,"48.86500369377785,2.3033658744127554"
344,6,"48.852315731159095,2.37214022894193"
345,6,"48.877327556729085,2.3420920938621372"
346,6,"48.89068878980195,2.330691751471027"
347,6,"48.8778402353052,2.30157130431134"
348,7,"48.881711990329435,2.3189525470190837"
349,6,"48.849335469248935,2.2945173040557925"
350,7,"48.87908110129674,2.3370203498927355"
351,6,"48.88052224855797,2.319367163768844"
352,6,"48.850359719878796,2.3906404945693795"
353,6,"48.85055236015465,2.394476631282543"
354,6,"48.847338817960235,2.3949945611529286"
355,6,"48.853007000171,2.4006972696879325"
356,6,"48.85508220630323,2.3082377465538184"
357,6,"48.86551209427124,2.370238226391229"
358,6,"48.84896021742795,2.3401379529938997"
359,6,"48.848361267789656,2.332609804545837"
360,6,"48.861097665993896,2.309567251757256"
361,5,"48.85779972421136,2.4028382013568534"
362,6,"48.847940544780826,2.2651381497980028"
363,6,"48.859464114011864,2.276041047186984"
364,6,"48.88179333600456,2.3283576636752636"
365,6,"48.82787222102681,2.2994401033181315"
366,6,"48.84557233322272,2.3118558914017355"
367,6,"48.868097334896945,2.2812824920957575"
368,6,"48.83562719297012,2.3722593717049185"
369,6,"48.84919344198069,2.3037322098190898"
370,6,"48.85274393480004,2.290666307910674"
371,6,"48.89408322966797,2.3837640035274044"
372,6,"48.85512698494436,2.33682474675692"
373,6,"48.87588167146135,2.402640399178272"
374,5,"48.84134252539333,2.291070536352497"
375,6,"48.85863194206345,2.349230503703888"
376,6,"48.82682343337402,2.350842689208517"
377,6,"48.83769175430054,2.2975371301459218"
378,7,"48.83498106146318,2.324189760987061"
379,6,"48.833168742616266,2.3194356029024576"
380,6,"48.871846547219846,2.3060100663982577"
381,6,"48.841583361895914,2.307904639056737"
382,6,"48.83054114279574,2.3358769866147733"
383,6,"48.88100379841078,2.31531452281692"
384,6,"48.84323324693418,2.320293303279871"
385,6,"48.8593292485226,2.3870164602418247"
386,5,"48.82785357929701,2.366747075808284"
387,6,"48.851283826669835,2.3696652154294484"
388,6,"48.852475246965575,2.3353217050008546"
389,6,"48.88224079681522,2.3243416453600942"
390,6,"48.84433929326498,2.308162843778311"
391,6,"48.84196451133993,2.3321185402302844"
392,6,"48.87174276999784,2.3458988596663235"
393,5,"48.83367324641948,2.3332071695951933"
394,5,"48.884946670797675,2.356973212640363"
395,5,"48.83348323751668,2.370247377846556"
396,5,"48.87654657414758,2.31798467025033"
397,6,"48.8570291364041,2.3784782948233474"
398,6,"48.861585355881736,2.26774223872386"
399,5,"48.85919310853195,2.3238944805221604"
400,7,"48.88114021117833,2.3680118303131437"
401,6,"48.83461935385521,2.310197904234548"
402,6,"48.8254611001203,2.3673727233029846"
403,6,"48.88438791470908,2.2991717301039447"
404,6,"48.88498586840715,2.315595778925687"
405,6,"48.888571321161734,2.3203294169153477"
406,6,"48.881344626521255,2.3906081114118196"
407,6,"48.89185814589396,2.305604764097245"
408,6,"48.88795979705425,2.339721573874408"
409,5,"48.88312598697088,2.3657837113438758"
410,6,"48.86651522927599,2.381312821055817"
411,6,"48.86443552260371,2.389409884516143"
412,6,"48.88275572994088,2.371865507447073"
413,6,"48.84470038937791,2.3522533441456948"
